County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Upson,2020,26590,10,11,4,25,94.02030839
Walker,2020,70397,6,6,1,13,18.46669602
Walton,2020,97375,24,13,8,45,46.21309371
Ware,2020,36028,22,20,4,46,127.6784723
Warren,2020,5268,1,0,0,1,18.98253607
Washington,2020,20302,7,6,3,16,78.80996946
Wayne,2020,30161,7,3,5,15,49.73309904
Webster,2020,2609,0,0,0,0,0
Wheeler,2020,7769,3,0,0,3,38.61500837
White,2020,32418,10,3,0,13,40.10117836
Whitfield,2020,105386,28,38,20,86,81.60476724
Wilcox,2020,8251,2,0,1,3,36.35922918
Wilkes,2020,9603,0,1,0,1,10.41341248
Wilkinson,2020,8776,4,1,0,5,56.97356427
Worth,2020,20137,3,0,2,5,24.82991508
