County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Appling,2017,18521,7,3,1,11,59.39204147
Atkinson,2017,8342,0,0,0,0,0
Bacon,2017,11319,1,3,2,6,53.00821627
Baker,2017,3200,1,2,0,3,93.75
Baldwin,2017,44906,9,14,8,31,69.03309135
Banks,2017,18634,1,0,0,1,5.366534292
Barrow,2017,79061,22,7,7,36,45.53446073
Bartow,2017,105054,30,15,8,53,50.45024464
Ben Hill,2017,16996,5,2,1,8,47.0698988
Berrien,2017,19186,4,1,0,5,26.06066924
Bibb,2017,152862,72,89,42,203,132.7995185
Bleckley,2017,12830,1,2,2,5,38.97116134
Brantley,2017,18731,2,1,0,3,16.01622978
Brooks,2017,15587,3,0,0,3,19.24680824
Bryan,2017,37060,8,3,1,12,32.37992445
Bulloch,2017,76149,20,13,10,43,56.4682399
Burke,2017,22522,7,2,1,10,44.4010301
Butts,2017,24059,4,4,1,9,37.40803857
Calhoun,2017,6455,4,0,0,4,61.96746708
Camden,2017,53044,16,8,6,30,56.55682075
Candler,2017,10797,2,3,0,5,46.30915995
Carroll,2017,117812,28,26,12,66,56.02145792
Catoosa,2017,66550,22,4,6,32,48.08414726
Charlton,2017,12715,7,1,0,8,62.91781361
Chatham,2017,290501,94,119,59,272,93.63134722
Chattahoochee,2017,10343,16,5,1,22,212.7042444
Chattooga,2017,24770,7,1,0,8,32.29713363
Cherokee,2017,247573,52,38,32,122,49.27839466
Clarke,2017,127064,36,86,24,146,114.9027262
Clay,2017,2962,0,1,0,1,33.76097232
Clayton,2017,285153,43,44,22,109,38.2250932
Clinch,2017,6727,2,1,0,3,44.59640256
Cobb,2017,755754,168,226,160,554,73.30427626
Coffee,2017,43014,12,10,5,27,62.77026085
Colquitt,2017,45835,13,9,5,27,58.90694884
Columbia,2017,151579,57,37,18,112,73.88886323
Cook,2017,17277,5,0,0,5,28.94020953
Coweta,2017,143114,27,38,12,77,53.80326174
Crawford,2017,12295,1,1,0,2,16.26677511
Crisp,2017,22736,5,9,7,21,92.36453202
Dade,2017,16285,4,4,1,9,55.26558182
Dawson,2017,24379,13,2,3,18,73.83403749
Decatur,2017,26716,19,35,10,64,239.5568199
Dekalb,2017,753253,194,333,276,803,106.6042883
Dodge,2017,20730,4,7,2,13,62.71104679
Dooly,2017,13737,1,0,0,1,7.279609813
Dougherty,2017,89502,34,31,17,82,91.6180644
Douglas,2017,143882,17,27,16,60,41.70083819
Early,2017,10296,3,0,1,4,38.85003885
Echols,2017,3936,0,0,0,0,0
Effingham,2017,59982,8,7,0,15,25.00750225
Elbert,2017,19109,8,2,0,10,52.33136219
Emanuel,2017,22530,5,2,1,8,35.50821127
Evans,2017,10775,3,4,1,8,74.24593968
