County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Fannin,2017,25322,6,5,3,14,55.28789195
Fayette,2017,112549,36,57,26,119,105.7317257
Floyd,2017,97613,59,54,12,125,128.0567138
Forsyth,2017,227967,60,52,39,151,66.2376572
Franklin,2017,22820,6,2,2,10,43.82120947
Fulton,2017,1041423,333,666,386,1385,132.9911093
Gilmer,2017,30674,9,4,1,14,45.6412597
Glascock,2017,3062,0,0,0,0,0
Glynn,2017,85282,30,20,15,65,76.21772473
Gordon,2017,57089,20,11,4,35,61.30778259
Grady,2017,24819,10,4,0,14,56.40839679
Greene,2017,17281,4,8,1,13,75.22712806
Gwinnett,2017,920260,183,201,163,547,59.43972356
Habersham,2017,44567,10,11,4,25,56.09531716
Hall,2017,199335,49,92,35,176,88.29357614
Hancock,2017,8561,1,0,0,1,11.6808784
Haralson,2017,29256,12,3,1,16,54.68963631
Harris,2017,33915,9,0,0,9,26.53693056
Hart,2017,25794,9,2,1,12,46.52244708
Heard,2017,11730,1,0,0,1,8.52514919
Henry,2017,225813,56,47,40,143,63.32673495
Houston,2017,153479,41,41,14,96,62.54927384
Irwin,2017,9410,1,1,2,4,42.50797024
Jackson,2017,67519,15,5,2,22,32.58342096
Jasper,2017,13964,3,2,0,5,35.80635921
Jeff Davis,2017,15025,4,2,1,7,46.5890183
Jefferson,2017,15648,4,2,1,7,44.73415133
Jenkins,2017,8767,1,0,0,1,11.4064104
Johnson,2017,9788,2,0,0,2,20.43318349
Jones,2017,28470,3,0,0,3,10.5374078
Lamar,2017,18599,6,0,1,7,37.63643207
Lanier,2017,10425,2,1,0,3,28.77697842
Laurens,2017,47330,33,28,9,70,147.8977393
Lee,2017,29470,6,5,2,13,44.11265694
Liberty,2017,61386,12,10,8,30,48.8710781
Lincoln,2017,7880,2,0,0,2,25.38071066
Long,2017,19014,1,0,0,1,5.259282634
Lowndes,2017,115489,28,35,9,72,62.34359982
Lumpkin,2017,32873,7,2,0,9,27.37809144
Macon,2017,13314,6,6,0,12,90.1306895
Madison,2017,29302,6,1,2,9,30.71462699
Marion,2017,8450,2,0,0,2,23.66863905
Mcduffie,2017,21498,9,3,1,13,60.47074146
Mcintosh,2017,14106,1,0,0,1,7.089181908
Meriwether,2017,21049,3,6,0,9,42.75737565
Miller,2017,5838,5,0,0,5,85.6457691
Mitchell,2017,22292,8,2,2,12,53.83097075
Monroe,2017,27113,7,3,2,12,44.25921145
Montgomery,2017,9031,1,0,0,1,11.07297088
Morgan,2017,18412,9,3,0,12,65.17488594
Murray,2017,39782,6,4,2,12,30.16439596
Muscogee,2017,194058,127,46,42,215,110.791619
Newton,2017,108078,10,18,9,37,34.23453432
Oconee,2017,38028,13,18,13,44,115.7042179
Oglethorpe,2017,14877,2,0,0,2,13.44357061
Paulding,2017,159445,18,13,3,34,21.32396751
Peach,2017,27099,6,2,1,9,33.21155762
Pickens,2017,31588,11,10,1,22,69.64670128
Pierce,2017,19307,3,0,0,3,15.53840576
Pike,2017,18217,1,1,1,3,16.46813416
Polk,2017,42085,17,2,2,21,49.8990139
Pulaski,2017,11201,6,4,1,11,98.20551736
Putnam,2017,21730,5,1,1,7,32.21352968
Quitman,2017,2358,0,0,0,0,0
Rabun,2017,16602,7,4,0,11,66.25707746
Randolph,2017,7075,3,0,0,3,42.40282686
Richmond,2017,201800,122,140,85,347,171.9524281
Rockdale,2017,90312,30,35,13,78,86.36726016
Schley,2017,5213,0,0,0,0,0
Screven,2017,13953,2,2,0,4,28.66767004
Seminole,2017,8292,2,2,2,6,72.35890014
Spalding,2017,65380,9,17,8,34,52.00367085
Stephens,2017,25890,10,6,5,21,81.11239861
Stewart,2017,5985,2,1,1,4,66.83375104
Sumter,2017,29847,11,5,5,21,70.35883003
Talbot,2017,6249,0,1,0,1,16.00256041
Taliaferro,2017,1628,0,0,0,0,0
Tattnall,2017,25334,6,2,0,8,31.57811637
Taylor,2017,8142,0,0,0,0,0
Telfair,2017,15989,4,0,0,4,25.01719932
Terrell,2017,8729,2,1,0,3,34.36819796
Thomas,2017,44779,20,20,9,49,109.4262936
Tift,2017,40598,16,26,8,50,123.1587763
Toombs,2017,26999,7,14,9,30,111.1152265
Towns,2017,11506,7,3,0,10,86.91117678
Treutlen,2017,6740,0,0,0,0,0
Troup,2017,69786,12,18,10,40,57.31808672
Turner,2017,7961,1,0,0,1,12.56123603
Twiggs,2017,8174,1,1,0,2,24.46782481
Union,2017,23459,19,3,0,22,93.78063856
Upson,2017,26135,12,8,3,23,88.00459154
Walker,2017,68939,8,4,0,12,17.40669287
Walton,2017,91600,17,12,6,35,38.20960699
Ware,2017,35871,15,18,6,39,108.7229238
Warren,2017,5303,1,0,0,1,18.85725061
Washington,2017,20313,9,7,3,19,93.53615911
Wayne,2017,29817,9,3,4,16,53.66066338
Webster,2017,2605,0,0,0,0,0
Wheeler,2017,7952,1,0,0,1,12.57545272
White,2017,29453,7,2,0,9,30.55715886
Whitfield,2017,104658,25,29,22,76,72.61747788
Wilcox,2017,8800,2,0,1,3,34.09090909
Wilkes,2017,9892,4,2,0,6,60.65507481
Wilkinson,2017,8959,4,0,0,4,44.64784016
Worth,2017,20533,5,1,2,8,38.96167146
