County,SqMiles,,,,,,,,,,,,,,,
SPALDING,199.6,,,,,,,,,,,,,,,
STEPHENS,183.9,,,,,,,,,,,,,,,
STEWART,463.6,,,,,,,,,,,,,,,
SUMTER,492.6,,,,,,,,,,,,,,,
TALBOT,394.8,,,,,,,,,,,,,,,
TALIAFERRO,195.3,,,,,,,,,,,,,,,
TATTNALL,488.3,,,,,,,,,,,,,,,
TAYLOR,379.7,,,,,,,,,,,,,,,
TELFAIR,444.0,,,,,,,,,,,,,,,
TERRELL,337.7,,,,,,,,,,,,,,,
THOMAS,552.2,,,,,,,,,,,,,,,
TIFT,268.8,,,,,,,,,,,,,,,
TOOMBS,371.0,,,,,,,,,,,,,,,
TOWNS,171.8,,,,,,,,,,,,,,,
TREUTLEN,202.4,,,,,,,,,,,,,,,
TROUP,446.0,,,,,,,,,,,,,,,
TURNER,290.0,,,,,,,,,,,,,,,
TWIGGS,362.6,,,,,,,,,,,,,,,
UNION,329.1,,,,,,,,,,,,,,,
UPSON,327.6,,,,,,,,,,,,,,,
WALKER,446.9,,,,,,,,,,,,,,,
WALTON,330.0,,,,,,,,,,,,,,,
WARE,908.0,,,,,,,,,,,,,,,
WARREN,286.7,,,,,,,,,,,,,,,
WASHINGTON,684.4,,,,,,,,,,,,,,,
WAYNE,648.7,,,,,,,,,,,,,,,
WEBSTER,210.6,,,,,,,,,,,,,,,
WHEELER,300.3,,,,,,,,,,,,,,,
WHITE,242.3,,,,,,,,,,,,,,,
WHITFIELD,291.1,,,,,,,,,,,,,,,
WILCOX,382.1,,,,,,,,,,,,,,,
WILKES,474.1,,,,,,,,,,,,,,,
WILKINSON,451.9,,,,,,,,,,,,,,,
WORTH,574.8,,,,,,,,,,,,,,,
