County,Year,DiabetesRate,PerCapitaIncome,PhysicianDensity,ObesityRate,InactivityRate,PopulationDensity
APPLING,2013,0.07386117136659436,28633,5.96529284164859e-4,0.17988069414316704,0.175,35.99453445246926
APPLING,2015,0.0623171128210686,31458,6.502655250894115e-4,0.17042375636718327,0.13639319388750407,36.02186219012298
APPLING,2017,0.061119809945467306,33085,5.93920414664435e-4,0.17542249338588628,0.11786620592840559,36.15264493460863
APPLING,2020,0.08328730807467138,39134,4.970727935490998e-4,0.17806252071136638,0.16171434883464045,35.342572711301976
ATKINSON,2013,0.05126658624849216,25093,1.2062726176115802e-4,0.1612786489746683,0.14620024125452352,24.063860667634252
ATKINSON,2015,0.058704453441295545,27336,1.1907597046915932e-4,0.14670159561800428,0.12729221243153133,24.37735849056604
ATKINSON,2017,0.05622152960920643,29038,0,0.1566770558619036,0.10860704866938384,24.21480406386067
ATKINSON,2020,0.06260193200351273,32289,1.2545477355413375e-4,0.14628026596411994,0.1126583866516121,23.137880986937592
BACON,2013,0.051622681883024255,27008,8.91583452211127e-4,0.16182239657631955,0.15433309557774608,39.244226731980405
BACON,2015,0.05319054783609169,29141,7.080272590494735e-4,0.1520488538808744,0.12266572263032127,39.534639608117566
BACON,2017,0.05857407898224225,31143,5.300821627352239e-4,0.1512501104337839,0.11016874282180404,39.60461861441567
BACON,2020,0.06938012112575703,37448,7.125044531528322e-4,0.1593338083363021,0.13252582828642678,39.28621413575927
BAKER,2013,0.0709368452559114,37748,5.98623166716552e-4,0.1706076025142173,0.15294821909607903,9.570323689487251
BAKER,2015,0.07232704402515723,33640,6.289308176100629e-4,0.1650943396226415,0.1270440251572327,9.109137782870237
BAKER,2017,0.071875,35424,9.375e-4,0.1628125,0.1265625,9.16642795760527
BAKER,2020,0.08565601631543168,45061,6.798096532970768e-4,0.13868116927260368,0.1390210740992522,8.427384703523344
BALDWIN,2013,0.07882447490171376,27729,9.991528921132083e-4,0.2120593409935055,0.15428223897130694,171.59522922102124
BALDWIN,2015,0.06786334939175961,30472,8.359180800281572e-4,0.1707912624562793,0.12237400734727996,169.43346999627283
BALDWIN,2017,0.06050416425421993,32387,6.903309134636797e-4,0.17389658397541533,0.1459270476105643,167.3723443906075
BALDWIN,2020,0.0700472328669459,37644,8.466268603511273e-4,0.2622983691293111,0.17342482844666252,167.29034662691018
BANKS,2013,0.05674721694270975,29739,1.629106706489275e-4,0.15270160195492805,0.13516155308172687,78.56228668941979
BANKS,2015,0.06374695863746958,33435,2.703433360367667e-4,0.16134090294674236,0.13468505001351716,78.90358361774744
BANKS,2017,0.07491681871847161,36627,5.366534292154127e-5,0.18943866051304067,0.14983363743694322,79.49658703071673
BANKS,2020,0.06675776900496001,39236,2.0244964065188785e-4,0.14758578803522623,0.13381921247089787,84.29180887372013
BARROW,2013,0.06600142751179097,30839,0.00037787076819727656,0.20192294235371502,0.1848067960757421,438.63106200122775
BARROW,2015,0.0777763035690593,33793,3.7150059705453095e-4,0.17172615098845695,0.18513997611781877,462.67648864333944
BARROW,2017,0.07434765560769532,36018,4.5534460732851847e-4,0.20162912181733092,0.147253386625517,485.3345610804174
BARROW,2020,0.06539317675918775,41874,3.4070776359423975e-4,0.21011447780856765,0.1653568345977377,540.5279312461632
BARTOW,2013,0.07465958350201929,31428,5.332122085847166e-4,0.20936478627077307,0.17150671946125817,215.70394036208734
BARTOW,2015,0.07660564298714317,34702,5.644933672029354e-4,0.19487673606042025,0.18327542409997372,218.84345047923324
BARTOW,2017,0.0748948159993908,36745,5.045024463609191e-4,0.16914158432805987,0.17630932663201782,223.75718849840257
BARTOW,2020,0.07228992015064549,43677,5.703525321841786e-4,0.21529450107733256,0.17536077060964347,235.26730564430244
BEN HILL,2013,0.0838138738224379,27108,0.0013131601484441906,0.20308307165286896,0.15826434484727375,68.98385191020087
BEN HILL,2015,0.06493133367810147,29314,5.746135723725794e-4,0.18439349537436076,0.15089352410503937,68.54273335959039
BEN HILL,2017,0.06107319369263356,28784,4.706989879971758e-4,0.17539421040244763,0.14032713579665804,66.93974005513982
BEN HILL,2020,0.0849538162372387,35045,4.861448711716091e-4,0.20077783179387457,0.1582401555663588,64.81291847183931
BERRIEN,2013,0.07922091558168837,27303,2.0999580008399833e-4,0.20343343133137337,0.18437631247375053,41.59860231491592
BERRIEN,2015,0.074249854980752,29998,2.6367136001687497e-4,0.16358171175446923,0.1689078732268101,41.412972264686616
BERRIEN,2017,0.07703533826748671,32135,2.606066923798603e-4,0.18987803606796622,0.1393724590847493,41.899978161170566
BERRIEN,2020,0.08428709496922529,37707,2.0346914899028434e-4,0.19207487664682843,0.1571290503077471,42.93295479362306
BIBB,2013,0.08254858745742336,34173,0.0012732596092321017,0.20528564319000006,0.17597481919067223,606.9870537465673
BIBB,2015,0.08310510600373404,36644,0.0013270795792377098,0.21218961625282168,0.20392789534286143,603.0639466457434
BIBB,2017,0.09376431029294396,38312,0.0013279951851997225,0.229461867566825,0.20095249309835014,599.6939976461357
BIBB,2020,0.12422643179259588,43114,0.0017765225709470232,0.27236759050178627,0.18352193972838077,602.8677912907023
BLECKLEY,2013,0.07759768224884504,31150,6.264192310703939e-4,0.1642784433482108,0.17649361835408348,58.28845276129621
BLECKLEY,2015,0.07481826349750878,32655,4.90075961774075e-4,0.16335865392469165,0.16719758229192191,55.87859424920128
BLECKLEY,2017,0.06726422447388933,33545,3.897116134060795e-4,0.17537022603273578,0.1347622759158223,58.55773619351894
