County,Number,Year
GRADY,4211,2013
GREENE,3548,2020
GREENE,3494,2017
GREENE,2823,2015
GREENE,2961,2013
GWINNETT,194486,2020
GWINNETT,191417,2017
GWINNETT,158474,2015
GWINNETT,153979,2013
HABERSHAM,9492,2020
HABERSHAM,6875,2017
HABERSHAM,6826,2015
HABERSHAM,8263,2013
HALL,43363,2020
HALL,38330,2017
HALL,35509,2015
HALL,31206,2013
HANCOCK,1637,2020
HANCOCK,1594,2017
HANCOCK,1449,2015
HANCOCK,1638,2013
HARALSON,4990,2020
HARALSON,4873,2017
HARALSON,4449,2015
HARALSON,4718,2013
HARRIS,7490,2020
HARRIS,5280,2017
HARRIS,6095,2015
HARRIS,5626,2013
HART,4282,2020
HART,4212,2017
HART,3914,2015
HART,4312,2013
HEARD,1629,2020
HEARD,1988,2017
HEARD,1773,2015
HEARD,1865,2013
HENRY,68028,2020
HENRY,53219,2017
HENRY,43843,2015
HENRY,41267,2013
HOUSTON,41411,2020
HOUSTON,33542,2017
HOUSTON,31217,2015
HOUSTON,30627,2013
IRWIN,1580,2020
IRWIN,1531,2017
IRWIN,1447,2015
IRWIN,1521,2013
JACKSON,15621,2020
JACKSON,14976,2017
JACKSON,9613,2015
JACKSON,10216,2013
JASPER,2176,2020
JASPER,2137,2017
JASPER,2078,2015
JASPER,2109,2013
JEFF DAVIS,2197,2020
JEFF DAVIS,2447,2017
JEFF DAVIS,2128,2015
JEFF DAVIS,2500,2013
JEFFERSON,2988,2020
JEFFERSON,2521,2017
JEFFERSON,2522,2015
JEFFERSON,3178,2013
JENKINS,1613,2020
JENKINS,1473,2017
JENKINS,1389,2015
JENKINS,1584,2013
JOHNSON,1963,2020
JOHNSON,1972,2017
JOHNSON,1727,2015
JOHNSON,2017,2013
JONES,5272,2020
JONES,4943,2017
JONES,4794,2015
JONES,4955,2013
LAMAR,2911,2020
LAMAR,3064,2017
LAMAR,2833,2015
LAMAR,3014,2013
LANIER,1848,2020
LANIER,1838,2017
LANIER,1604,2015
LANIER,1809,2013
LAURENS,13512,2020
LAURENS,11508,2017
LAURENS,10540,2015
LAURENS,11672,2013
LEE,6177,2020
LEE,5028,2017
LEE,4728,2015
LEE,5173,2013
LIBERTY,15276,2020
LIBERTY,10225,2017
LIBERTY,11131,2015
LIBERTY,13060,2013
LINCOLN,1264,2020
LINCOLN,1366,2017
LINCOLN,1240,2015
LINCOLN,1436,2013
LONG,2617,2020
LONG,2662,2017
LONG,2567,2015
LONG,2508,2013
LOWNDES,29439,2020
LOWNDES,26336,2017
LOWNDES,24192,2015
LOWNDES,21728,2013
LUMPKIN,6033,2020
LUMPKIN,5708,2017
LUMPKIN,5491,2015
LUMPKIN,5187,2013
MACON,2013,2020
MACON,2505,2017
MACON,2246,2015
MACON,2689,2013
MADISON,6481,2020
MADISON,4683,2017
MADISON,5061,2015
MADISON,5448,2013
MARION,1260,2020
MARION,1659,2017
MARION,1394,2015
MARION,1528,2013
MCDUFFIE,4406,2020
MCDUFFIE,3233,2017
MCDUFFIE,3246,2015
MCDUFFIE,4061,2013
MCINTOSH,2432,2020
MCINTOSH,2615,2017
MCINTOSH,2368,2015
MCINTOSH,2537,2013
MERIWETHER,4861,2020
MERIWETHER,3699,2017
MERIWETHER,3387,2015
MERIWETHER,3884,2013
MILLER,818,2020
MILLER,914,2017
MILLER,887,2015
MILLER,958,2013
MITCHELL,3353,2020
MITCHELL,3467,2017
MITCHELL,3601,2015
MITCHELL,3912,2013
MONROE,3933,2020
MONROE,4806,2017
MONROE,4577,2015
MONROE,4774,2013
MONTGOMERY,1424,2020
MONTGOMERY,1480,2017
MONTGOMERY,1471,2015
MONTGOMERY,1853,2013
MORGAN,3686,2020
MORGAN,3033,2017
MORGAN,2828,2015
MORGAN,2826,2013
MURRAY,11134,2020
MURRAY,8650,2017
MURRAY,6437,2015
MURRAY,7038,2013
MUSCOGEE,50863,2020
MUSCOGEE,51866,2017
MUSCOGEE,44689,2015
MUSCOGEE,42312,2013
NEWTON,28582,2020
NEWTON,25458,2017
NEWTON,17769,2015
NEWTON,18530,2013
OCONEE,7550,2020
OCONEE,5590,2017
OCONEE,5758,2015
OCONEE,5858,2013
OGLETHORPE,2595,2020
OGLETHORPE,2683,2017
OGLETHORPE,2453,2015
OGLETHORPE,2609,2013
PAULDING,39912,2020
PAULDING,37746,2017
PAULDING,24774,2015
PAULDING,25430,2013
PEACH,4181,2020
PEACH,4964,2017
PEACH,4380,2015
PEACH,4497,2013
PICKENS,7036,2020
PICKENS,5148,2017
PICKENS,5107,2015
PICKENS,4724,2013
PIERCE,3829,2020
PIERCE,3205,2017
PIERCE,3030,2015
PIERCE,3164,2013
PIKE,3194,2020
PIKE,3155,2017
PIKE,2821,2015
PIKE,2641,2013
POLK,10287,2020
POLK,6960,2017
POLK,6655,2015
