County,Number,Year
GREENE,2880,2013
GREENE,2436,2015
GREENE,2799,2017
GREENE,3063,2020
GWINNETT,125782,2013
GWINNETT,123608,2015
GWINNETT,158020,2017
GWINNETT,139279,2020
HABERSHAM,8197,2013
HABERSHAM,6282,2015
HABERSHAM,5928,2017
HABERSHAM,8442,2020
HALL,29604,2013
HALL,30073,2015
HALL,34335,2017
HALL,32221,2020
HANCOCK,1486,2013
HANCOCK,1121,2015
HANCOCK,1094,2017
HANCOCK,1154,2020
HARALSON,4927,2013
HARALSON,3830,2015
HARALSON,3530,2017
HARALSON,5825,2020
HARRIS,4957,2013
HARRIS,4865,2015
HARRIS,4566,2017
HARRIS,5843,2020
HART,4819,2013
HART,4583,2015
HART,3310,2017
HART,4316,2020
HEARD,1842,2013
HEARD,1434,2015
HEARD,1299,2017
HEARD,1596,2020
HENRY,31906,2013
HENRY,32884,2015
HENRY,38014,2017
HENRY,41063,2020
HOUSTON,23859,2013
HOUSTON,23994,2015
HOUSTON,24178,2017
HOUSTON,25719,2020
IRWIN,1611,2013
IRWIN,1257,2015
IRWIN,1135,2017
IRWIN,1232,2020
JACKSON,10894,2013
JACKSON,9547,2015
JACKSON,13376,2017
JACKSON,12166,2020
JASPER,1950,2013
JASPER,1600,2015
JASPER,1650,2017
JASPER,1965,2020
JEFF DAVIS,2480,2013
JEFF DAVIS,1971,2015
JEFF DAVIS,1647,2017
JEFF DAVIS,1673,2020
JEFFERSON,3041,2013
JEFFERSON,2309,2015
JEFFERSON,1808,2017
JEFFERSON,2781,2020
JENKINS,1425,2013
JENKINS,1096,2015
JENKINS,1067,2017
JENKINS,1127,2020
JOHNSON,1830,2013
JOHNSON,1409,2015
JOHNSON,1626,2017
JOHNSON,1745,2020
JONES,5114,2013
JONES,4448,2015
JONES,3662,2017
JONES,4476,2020
LAMAR,2907,2013
LAMAR,2384,2015
LAMAR,2151,2017
LAMAR,2674,2020
LANIER,1778,2013
LANIER,1630,2015
LANIER,1257,2017
LANIER,1793,2020
LAURENS,10915,2013
LAURENS,10382,2015
LAURENS,10864,2017
LAURENS,11954,2020
LEE,4001,2013
LEE,3261,2015
LEE,3789,2017
LEE,3833,2020
LIBERTY,9813,2013
LIBERTY,8786,2015
LIBERTY,10839,2017
LIBERTY,11187,2020
LINCOLN,1422,2013
LINCOLN,1017,2015
LINCOLN,1106,2017
LINCOLN,1348,2020
LONG,2410,2013
LONG,1953,2015
LONG,2040,2017
LONG,2624,2020
LOWNDES,22040,2013
LOWNDES,20008,2015
LOWNDES,21986,2017
LOWNDES,22516,2020
LUMPKIN,4708,2013
LUMPKIN,4411,2015
LUMPKIN,4409,2017
LUMPKIN,3790,2020
MACON,2502,2013
MACON,2160,2015
MACON,2396,2017
MACON,2185,2020
MADISON,5199,2013
MADISON,4196,2015
MADISON,3720,2017
MADISON,5499,2020
MARION,1356,2013
MARION,1236,2015
MARION,1156,2017
MARION,1148,2020
MCDUFFIE,3885,2013
MCDUFFIE,2895,2015
MCDUFFIE,2761,2017
MCDUFFIE,2951,2020
MCINTOSH,2357,2013
MCINTOSH,1900,2015
MCINTOSH,2331,2017
MCINTOSH,2251,2020
MERIWETHER,3612,2013
MERIWETHER,2865,2015
MERIWETHER,3238,2017
MERIWETHER,3825,2020
MILLER,957,2013
MILLER,763,2015
MILLER,688,2017
MILLER,665,2020
MITCHELL,4290,2013
MITCHELL,3862,2015
MITCHELL,3424,2017
MITCHELL,3045,2020
MONROE,4464,2013
MONROE,3869,2015
MONROE,3760,2017
MONROE,4728,2020
MONTGOMERY,1748,2013
MONTGOMERY,1477,2015
MONTGOMERY,1172,2017
