County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Mcduffie,2015,21540,6,4,0,10,46.42525534
Mcintosh,2015,13969,2,0,0,2,14.31741714
Meriwether,2015,21190,5,5,0,10,47.19207173
Miller,2015,5854,5,0,1,6,102.4940212
Mitchell,2015,22574,8,1,2,11,48.72862585
Monroe,2015,27103,8,2,3,13,47.96516991
Montgomery,2015,8951,0,0,0,0,0
Morgan,2015,18046,4,4,0,8,44.33115372
Murray,2015,39565,8,2,0,10,25.27486415
Muscogee,2015,200579,156,60,44,260,129.6247364
Newton,2015,105473,11,21,10,42,39.8206176
Oconee,2015,35965,11,15,11,37,102.8777979
Oglethorpe,2015,14871,2,0,0,2,13.44899469
Paulding,2015,152238,14,10,5,29,19.04912046
Peach,2015,26720,9,2,0,11,41.16766467
Pickens,2015,30309,8,13,1,22,72.58570062
Pierce,2015,19103,4,0,0,4,20.93911951
Pike,2015,17941,1,0,0,1,5.573825316
Polk,2015,41524,17,3,1,21,50.57316251
Pulaski,2015,11396,5,6,1,12,105.3001053
Putnam,2015,21353,5,2,1,8,37.46546153
Quitman,2015,2302,0,0,0,0,0
Rabun,2015,16281,8,4,0,12,73.70554634
Randolph,2015,7193,4,0,0,4,55.60962046
Richmond,2015,201793,119,148,73,340,168.4894917
Rockdale,2015,88856,28,39,15,82,92.28414513
Schley,2015,5168,0,0,0,0,0
Screven,2015,14162,3,0,0,3,21.18344867
Seminole,2015,8647,2,2,3,7,80.95293165
Spalding,2015,64051,7,22,8,37,57.76646735
Stephens,2015,25586,10,5,6,21,82.07613539
Stewart,2015,5851,2,0,1,3,51.27328662
Sumter,2015,30779,13,7,7,27,87.72214822
Talbot,2015,6337,1,1,0,2,31.5606754
Taliaferro,2015,1639,0,0,0,0,0
Tattnall,2015,25229,9,4,0,13,51.52800349
Taylor,2015,8330,1,1,0,2,24.00960384
Telfair,2015,16400,4,0,0,4,24.3902439
Terrell,2015,9113,1,0,0,1,10.9733348
Thomas,2015,45063,24,16,7,47,104.2984266
Tift,2015,40764,19,26,7,52,127.5635365
Toombs,2015,27241,5,12,6,23,84.43155538
Towns,2015,11182,6,4,0,10,89.42944017
Treutlen,2015,6785,0,0,0,0,0
Troup,2015,69763,14,21,11,46,65.93753136
Turner,2015,8214,1,0,0,1,12.1743365
Twiggs,2015,8390,0,1,0,1,11.91895113
Union,2015,22267,21,2,0,23,103.2918669
Upson,2015,26368,10,7,4,21,79.64199029
Walker,2015,68066,10,3,0,13,19.09910969
Walton,2015,88399,20,14,6,40,45.24938065
Ware,2015,35370,15,18,5,38,107.43568
Warren,2015,5460,1,0,0,1,18.31501832
Washington,2015,20816,8,6,2,16,76.86395081
Wayne,2015,29534,9,8,4,21,71.10448974
Webster,2015,2648,0,0,0,0,0
Wheeler,2015,7903,0,0,0,0,0
White,2015,28319,5,1,0,6,21.18718881
Whitfield,2015,104216,26,27,22,75,71.96591694
Wilcox,2015,8857,2,0,0,2,22.58100937
Wilkes,2015,9867,4,3,0,7,70.9435492
Wilkinson,2015,9155,3,1,0,4,43.6919716
Worth,2015,20699,6,2,2,10,48.31151263
