County Name,Year,Population,# of FM Physicians,# of IM Physicians,# of P Physicians,Total Physicians,Rate Per 100000
Appling,2015,18454,6,5,1,12,65.02655251
Atkinson,2015,8398,1,0,0,1,11.90759705
Bacon,2015,11299,3,3,2,8,70.8027259
Baker,2015,3180,0,2,0,2,62.89308176
Baldwin,2015,45459,16,16,6,38,83.591808
Banks,2015,18495,3,1,1,5,27.0343336
Barrow,2015,75370,18,5,5,28,37.15005971
Bartow,2015,102747,31,17,10,58,56.44933672
Ben Hill,2015,17403,7,2,1,10,57.46135724
Berrien,2015,18963,4,1,0,5,26.367136
Bibb,2015,153721,68,98,38,204,132.7079579
Bleckley,2015,12243,2,2,2,6,49.00759618
Brantley,2015,18455,2,0,0,2,10.8371715
Brooks,2015,15658,3,3,0,6,38.31907012
Bryan,2015,35137,12,6,3,21,59.76605857
Bulloch,2015,72651,21,12,9,42,57.8106289
Burke,2015,22745,7,2,2,11,48.36227742
Butts,2015,23593,8,5,1,14,59.33963464
Calhoun,2015,6479,2,0,0,2,30.86896126
Camden,2015,52102,15,9,6,30,57.57936356
Candler,2015,10886,5,3,0,8,73.48888481
Carroll,2015,114545,31,21,13,65,56.74625693
Catoosa,2015,66050,22,11,4,37,56.01816805
Charlton,2015,12965,3,1,0,4,30.85229464
Chatham,2015,286956,91,104,60,255,88.86379793
Chattahoochee,2015,11368,1,2,2,5,43.98311049
Chattooga,2015,24922,9,2,0,11,44.13770965
Cherokee,2015,235900,55,40,26,121,51.29292073
Clarke,2015,123912,39,76,20,135,108.9482859
Clay,2015,3141,0,1,0,1,31.83699459
Clayton,2015,273955,43,46,28,117,42.70774397
Clinch,2015,6893,0,2,0,2,29.0149427
Cobb,2015,741334,140,187,137,464,62.58987177
Coffee,2015,43108,12,14,5,31,71.91240605
Colquitt,2015,45844,14,9,4,27,58.89538435
Columbia,2015,144052,41,23,21,85,59.00646989
Cook,2015,17124,8,0,0,8,46.71805653
Coweta,2015,138427,28,37,11,76,54.90258403
Crawford,2015,12388,2,0,0,2,16.14465612
Crisp,2015,22881,3,9,5,17,74.29745203
Dade,2015,16264,1,3,0,4,24.59419577
Dawson,2015,23312,15,2,3,20,85.79272478
Decatur,2015,27174,8,6,5,19,69.91977626
Dekalb,2015,734871,205,342,287,834,113.4893063
Dodge,2015,20882,6,11,3,20,95.77626664
Dooly,2015,14035,0,1,0,1,7.125044532
Dougherty,2015,91332,45,34,23,102,111.6804625
Douglas,2015,140733,17,37,16,70,49.73957778
Early,2015,10575,2,1,1,4,37.8250591
Echols,2015,4040,0,0,0,0,0
Effingham,2015,57106,9,7,1,17,29.76920113
Elbert,2015,19364,8,3,0,11,56.80644495
Emanuel,2015,22708,6,3,2,11,48.44107803
Evans,2015,10787,5,1,0,6,55.62250858
Fannin,2015,24303,9,5,3,17,69.95021191
Fayette,2015,110714,35,48,24,107,96.6454107
Floyd,2015,96504,68,50,12,130,134.7094421
Forsyth,2015,212438,42,29,23,94,44.24820418
Franklin,2015,22311,6,3,2,11,49.30303438
Fulton,2015,1010562,322,646,338,1306,129.2350197
Gilmer,2015,29400,12,2,2,16,54.42176871
Glascock,2015,3065,0,0,0,0,0
Glynn,2015,83579,29,22,13,64,76.57425908
Gordon,2015,56574,21,14,4,39,68.93626047
Grady,2015,25205,11,6,0,17,67.44693513
Greene,2015,16710,6,4,2,12,71.81328546
Gwinnett,2015,895823,179,178,158,515,57.48903522
Habersham,2015,43996,12,12,3,27,61.36921538
Hall,2015,193535,46,77,30,153,79.055468
Hancock,2015,8551,2,1,0,3,35.08361595
Haralson,2015,28854,11,4,1,16,55.45158384
Harris,2015,33381,5,0,0,5,14.97858063
Hart,2015,25534,8,2,0,10,39.16346832
Heard,2015,11539,1,0,1,2,17.33252448
Henry,2015,217739,47,38,35,120,55.1118541
Houston,2015,150033,43,39,13,95,63.31940306
Irwin,2015,9245,1,1,2,4,43.26663061
Jackson,2015,63360,16,7,6,29,45.77020202
Jasper,2015,13635,4,2,0,6,44.00440044
Jeff Davis,2015,14920,4,2,1,7,46.91689008
Jefferson,2015,16106,5,2,1,8,49.67093009
Jenkins,2015,8957,3,,1,4,44.65780953
Johnson,2015,9656,2,2,0,4,41.42502071
Jones,2015,28494,4,,0,4,14.0380431
Lamar,2015,18201,6,1,1,8,43.95362892
Lanier,2015,10312,2,1,0,3,29.09231963
Laurens,2015,47731,25,30,8,63,131.9896922
Lee,2015,29202,4,5,1,10,34.24422985
Liberty,2015,62467,11,11,8,30,48.02535739
Lincoln,2015,7673,2,0,0,2,26.06542421
Long,2015,17731,0,0,0,0,0
Lowndes,2015,112865,25,28,9,62,54.93288442
Lumpkin,2015,31408,6,4,1,11,35.0229241
Macon,2015,13632,4,1,1,6,44.01408451
Madison,2015,28441,5,0,3,8,28.12840617
Marion,2015,8761,3,0,0,3,34.24266636
